X [ m ], Y [ m ], Z [ m ], Density [ kg m^-3 ], Pressure [ Pa ], Temperature [ K ], Velocity [ m s^-1 ]
8.04188289e-03, 5.96864484e-02, -7.26367012e-02, 3.54563761e+00, 4.58075100e+06, 3.46809644e+03, 0.00000000e+00
1.64606404e-02, 6.94906563e-02, -7.34354183e-02, 3.54569030e+00, 4.58076350e+06, 3.46806763e+03, 0.00000000e+00
2.11223997e-02, 7.63675496e-02, -7.27616474e-02, 3.54439211e+00, 4.57873050e+06, 3.46779370e+03, 0.00000000e+00
2.65724584e-02, 8.19849744e-02, -7.09657371e-02, 3.54303861e+00, 4.57656000e+06, 3.46747583e+03, 0.00000000e+00
3.04417964e-02, 8.69582966e-02, -6.93940073e-02, 3.54212117e+00, 4.57507850e+06, 3.46725073e+03, 0.00000000e+00
3.42186652e-02, 9.19316113e-02, -6.76114932e-02, 3.54159212e+00, 4.57422450e+06, 3.46712109e+03, 0.00000000e+00
3.78916040e-02, 9.93915945e-02, -6.56236038e-02, 3.54076409e+00, 4.57288100e+06, 3.46691357e+03, 0.00000000e+00
4.14494611e-02, 1.01878256e-01, -6.34363741e-02, 3.54052258e+00, 4.57249100e+06, 3.46685400e+03, 0.00000000e+00
4.61425222e-02, 1.06229916e-01, -6.01294339e-02, 3.54027534e+00, 4.57208600e+06, 3.46678955e+03, 0.00000000e+00
4.97910492e-02, 9.93916020e-02, -5.71615063e-02, 3.54075694e+00, 4.57288750e+06, 3.46692529e+03, 0.00000000e+00
5.13263233e-02, 9.19316113e-02, -5.57480007e-02, 3.54158521e+00, 4.57423700e+06, 3.46713770e+03, 0.00000000e+00
5.43196909e-02, 8.69582966e-02, -5.28356172e-02, 3.54211354e+00, 4.57509950e+06, 3.46727393e+03, 0.00000000e+00
5.71480542e-02, 8.19849744e-02, -4.97627482e-02, 3.54303336e+00, 4.57659650e+06, 3.46750879e+03, 0.00000000e+00
5.98021969e-02, 7.69928843e-02, -4.65382077e-02, 3.54447770e+00, 4.57893050e+06, 3.46786133e+03, 0.00000000e+00
8.74842890e-03, 6.63797408e-02, -7.42651448e-02, 3.54595542e+00, 4.58117200e+06, 3.46811670e+03, 0.00000000e+00
